Id,label
1,6
2,18
3,1
4,18
5,6
6,18
7,2
8,6
9,2
10,16
11,12
12,12
13,1
14,1
15,6
16,12
17,16
18,12
19,6
20,18
21,1
22,2
23,1
24,18
25,16
26,18
27,2
28,12
29,18
30,16
31,6
32,6
33,12
34,2
35,18
36,22
37,16
38,12
39,6
40,2
41,2
42,6
43,16
44,12
45,16
46,12
47,2
48,12
49,6
50,16
51,2
52,1
53,2
54,6
55,6
56,6
57,2
58,12
59,2
60,12
61,2
62,12
63,1
64,2
65,16
66,1
67,2
68,2
69,22
70,22
71,16
72,1
73,6
74,22
75,2
76,12
77,6
78,2
79,22
80,16
81,12
82,2
83,16
84,2
85,22
86,12
87,18
88,1
89,6
90,1
91,1
92,2
93,6
94,16
95,12
96,16
97,22
98,18
99,12
100,1
101,12
102,6
103,6
104,12
105,22
106,16
107,22
108,6
109,16
110,6
111,22
112,18
113,1
114,22
115,16
116,6
117,16
118,22
119,6
120,16
121,1
122,18
123,16
124,2
125,22
126,12
127,1
128,22
129,1
130,16
131,1
132,2
133,6
134,22
135,12
136,6
137,18
138,12
139,22
140,2
141,18
142,2
143,1
144,2
145,2
146,1
147,2
148,12
149,2
150,22
151,6
152,16
153,6
154,16
155,1
156,18
157,12
158,16
159,1
160,18
161,12
162,6
163,12
164,1
165,12
166,6
167,1
168,18
169,16
170,1
171,1
172,6
173,6
174,22
175,22
176,12
177,16
178,18
179,1
180,1
181,6
182,22
183,12
184,22
185,1
186,18
187,6
188,2
189,2
190,18
191,22
192,1
193,1
194,1
195,18
196,12
197,2
198,22
199,18
200,1
201,1
202,16
203,22
204,1
205,12
206,1
207,22
208,18
209,2
210,2
211,1
212,6
213,16
214,6
215,6
216,18
217,22
218,6
219,2
220,6
221,1
222,6
223,6
224,6
225,2
226,1
227,18
228,18
229,2
230,12
231,22
232,6
233,22
234,1
235,16
236,2
237,22
238,18
239,6
240,18
241,6
242,6
243,2
244,6
245,12
246,12
247,2
248,22
249,16
250,12
251,2
252,16
253,1
254,2
255,22
256,2
257,22
258,1
259,18
260,18
261,16
262,1
263,2
264,6
265,22
266,6
267,18
268,1
269,12
270,16
271,2
272,18
273,6
274,18
275,18
276,2
277,12
278,6
279,22
280,22
281,22
282,6
283,18
284,1
285,1
286,16
287,12
288,6
289,2
290,18
291,2
292,1
293,12
294,2
295,18
296,16
297,18
298,18
299,6
300,12
301,6
302,2
303,2
304,1
305,1
306,22
307,12
308,22
309,22
310,2
311,18
312,18
313,22
314,6
315,18
316,2
317,12
318,12
319,1
320,12
321,16
322,16
323,2
324,22
325,12
326,16
327,6
328,16
329,6
330,1
331,22
332,16
333,16
334,1
335,2
336,16
337,16
338,1
339,18
340,1
341,2
342,18
343,22
344,2
345,1
346,6
347,18
348,2
349,16
350,22
351,6
352,22
353,1
354,16
355,1
356,18
357,22
358,1
359,12
360,16
361,16
362,22
363,6
364,16
365,18
366,22
367,1
368,1
369,16
370,18
371,1
372,6
373,18
374,6
375,22
376,12
377,6
378,12
379,2
380,12
381,22
382,22
383,12
384,1
385,18
386,22
387,18
388,2
389,22
390,1
391,16
392,16
393,18
394,18
395,2
396,6
397,18
398,1
399,22
400,1
401,6
402,6
403,12
404,1
405,6
406,18
407,1
408,1
409,12
410,1
411,1
412,18
413,2
414,12
415,2
416,16
417,16
418,1
419,1
420,12
421,2
422,6
423,2
424,2
425,12
426,6
427,22
428,12
429,16
430,22
431,1
432,12
433,2
434,18
435,12
436,2
437,18
438,2
439,16
440,2
441,1
442,16
443,18
444,12
445,12
446,18
447,16
448,22
449,16
450,12
451,12
452,12
453,12
454,12
455,22
456,6
457,22
458,1
459,12
460,2
461,16
462,18
463,2
464,1
465,18
466,18
467,2
468,6
469,1
470,1
471,1
472,22
473,22
474,22
475,1
476,2
477,12
478,12
479,16
480,16
481,16
482,12
483,16
484,18
485,6
486,16
487,22
488,2
489,18
490,12
491,22
492,16
493,1
494,16
495,16
496,6
497,6
498,22
499,12
500,6
